authors,doi,title,classification_id,type,issued_date,subject,journal_title,publisher,issn,isbn,issue,volume,page,nhm_sub,oa_id,best_oa_url,updated_date,pdf_url,is_oa,doi_url,host_type,version,retrieved_date
"Aubriot, Xavier; Knapp, Sandra; Syfert, Mindy M.; Poczai, Péter; Buerki, Sven",10.1002/ajb2.1133,"Shedding new light on the origin and spread of the brinjal eggplant (Solanum melongena
 L.) and its wild relatives",1,journal-article,2018-07-01,"Plant Science,Genetics,Ecology, Evolution, Behavior and Systematics",American Journal of Botany,Wiley,0002-9122,,7,105,1175-1187,1,100,,2018-08-10,,0,https://doi.org/10.1002/ajb2.1133,,,2018-09-15
"Day, Michael O.; Smith, Roger M. H.; Benoit, Julien; Fernandez, Vincent; Rubidge, Bruce S.",10.1002/spp2.1114,"A new species of burnetiid (Therapsida, Burnetiamorpha) from the early Wuchiapingian of South Africa and implications for the evolutionary ecology of the family Burnetiidae",1,journal-article,2018-04-29,,Papers in Palaeontology,Wiley,2056-2802,,3,4,453-475,1,101,,2018-06-14,,0,https://doi.org/10.1002/spp2.1114,,,2018-09-15
"Maniel, Ignacio J.; de la Fuente, Marcelo S.; Sterli, Juliana; Jannello, Juan M.; Krause, J. Marcelo",10.1002/spp2.1117,"New remains of the aquatic turtle Hydromedusa casamayorensis
 (Pleurodira, Chelidae) from the middle Eocene of Patagonia: taxonomic validation and phylogenetic relationships",1,journal-article,2018-05-13,,Papers in Palaeontology,Wiley,2056-2802,,,,,1,102,,2018-06-15,,0,https://doi.org/10.1002/spp2.1117,,,2018-09-15
"Beckett, Hermione T.; Giles, Sam; Johanson, Zerina; Friedman, Matt",10.1002/spp2.1221,Morphology and phylogenetic relationships of fossil snake mackerels and cutlassfishes (Trichiuroidea) from the Eocene (Ypresian) London Clay Formation,1,journal-article,2018-06-21,,Papers in Palaeontology,Wiley,2056-2802,,,,,1,103,,2018-08-07,,0,https://doi.org/10.1002/spp2.1221,,,2018-09-15
"Stainbank, Stephanie; Spezzaferri, Silvia; Kroon, Dick; de Leau, Erica S.; Rüggeberg, Andres",10.1007/s00015-018-0304-9,The Planktonic foraminifera Globigerinoides eoconglobatus n. sp. in a glacial–interglacial context: IODP359 Sites U1467 and U1468,1,journal-article,2018-04-19,,Swiss Journal of Geosciences,Springer Nature,1661-8726,,,,,1,104,,2018-06-18,,0,https://doi.org/10.1007/s00015-018-0304-9,,,2018-09-15
"Hawlitschek, Oliver; Scherz, Mark D.; Ruthensteiner, Bernhard; Crottini, Angelica; Glaw, Frank",10.1007/s00114-018-1574-9,"Computational molecular species delimitation and taxonomic revision of the gecko genus Ebenavia Boettger, 1878",1,journal-article,2018-07-20,"Ecology, Evolution, Behavior and Systematics,General Medicine",The Science of Nature,"Springer Nature America, Inc",0028-1042,,7-8,105,,1,105,,2018-08-07,,0,https://doi.org/10.1007/s00114-018-1574-9,,,2018-09-15
"Mayr, Gerald",10.1007/s00435-018-0410-2,"A survey of casques, frontal humps, and other extravagant bony cranial protuberances in birds",1,journal-article,2018-05-29,"Developmental Biology,Animal Science and Zoology",Zoomorphology,"Springer Nature America, Inc",0720-213X,,3,137,457-472,1,106,,2018-08-05,,0,https://doi.org/10.1007/s00435-018-0410-2,,,2018-09-15
"Dallarés, Sara; Constenla, María; Carrassón, Maite",10.1007/s00436-018-6047-8,"A new species of Hamaticolax (Copepoda: Bomolochidae) from Helicolenus dactylopterus (Delaroche, 1809) (Scorpaeniformes: Sebastidae) in NW Mediterranean deep waters and notes on patterns of host use and host-specificity of the genus",1,journal-article,2018-09-05,"Insect Science,General Veterinary,Parasitology,Infectious Diseases,General Medicine",Parasitology Research,"Springer Nature America, Inc",0932-0113,,,,,1,107,,2018-09-05,,0,https://doi.org/10.1007/s00436-018-6047-8,,,2018-09-15
"Santoro, Mario; Uberti, Barbara Degli; Corrado, Federica; Cutarelli, Anna; Iaccarino, Doriana; Di Nocera, Fabio; D’Amore, Marianna; De Luca, Giovanna; Cerrone, Anna; Capuano, Federico; Galiero, Giorgio",10.1007/s00436-018-6067-4,Grillotia (Cestoda: Trypanorhyncha) plerocerci in an anglerfish (Lophius piscatorius) from the Tyrrhenian Sea,1,journal-article,2018-09-03,"Insect Science,General Veterinary,Parasitology,Infectious Diseases,General Medicine",Parasitology Research,"Springer Nature America, Inc",0932-0113,,,,,1,108,,2018-09-03,,0,https://doi.org/10.1007/s00436-018-6067-4,,,2018-09-15
"Imamura, Hisashi; Psomadakis, Peter N.; Thein, Htun",10.1007/s10228-018-0639-2,"Two new species of deepwater flathead Bembras Cuvier, 1829 from the Andaman Sea, eastern Indian Ocean",1,journal-article,2018-05-25,,Ichthyological Research,Springer Nature,1341-8998,,,,,1,109,,2018-08-08,,0,https://doi.org/10.1007/s10228-018-0639-2,,,2018-09-15
